trading_day,trade_time,trade_timestamp,exchange_id,instrument_id,open_price,highest_price,lowest_price,close_price,settlement_price,upper_limit_price,lower_limit_price,pre_settlement_price,volume,turnover,open_interest,insert_time
2024.11.01,2024.11.01T11:28:00.000,1730431680000,CFFEX,IC2503,5829.800000000000181,5835.800000000000181,5829.399999999999636,5834,0,0,0,0,35,40834040,56341,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:29:00.000,1730431740000,CFFEX,IC2503,5835.800000000000181,5835.800000000000181,5828.800000000000181,5829.800000000000181,0,0,0,0,25,29169440,56333,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T11:30:00.000,1730431800000,CFFEX,IC2503,5829.600000000000363,5835.600000000000363,5828.600000000000363,5832.199999999999818,0,0,0,0,64,74642560,56323,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:01:00.000,1730437260000,CFFEX,IC2503,5835,5845.399999999999636,5835,5835.800000000000181,0,0,0,0,107,124975400,56325,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:02:00.000,1730437320000,CFFEX,IC2503,5835.399999999999636,5838,5832.199999999999818,5833.800000000000181,0,0,0,0,90,105036000,56346,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:03:00.000,1730437380000,CFFEX,IC2503,5834.199999999999818,5834.199999999999818,5822,5828.800000000000181,0,0,0,0,95,110738520,56346,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:04:00.000,1730437440000,CFFEX,IC2503,5828,5828,5819,5821.800000000000181,0,0,0,0,47,54733440,56338,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:05:00.000,1730437500000,CFFEX,IC2503,5818.800000000000181,5818.800000000000181,5813.199999999999818,5813.199999999999818,0,0,0,0,64,74436840,56332,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:06:00.000,1730437560000,CFFEX,IC2503,5812.199999999999818,5816.600000000000363,5806.600000000000363,5810.800000000000181,0,0,0,0,83,96478200,56348,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:07:00.000,1730437620000,CFFEX,IC2503,5810.199999999999818,5816,5810,5813.800000000000181,0,0,0,0,45,52318920,56354,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:08:00.000,1730437680000,CFFEX,IC2503,5813.199999999999818,5813.199999999999818,5806.399999999999636,5810.600000000000363,0,0,0,0,64,74348920,56365,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:09:00.000,1730437740000,CFFEX,IC2503,5810.800000000000181,5815.800000000000181,5810.199999999999818,5812.399999999999636,0,0,0,0,43,49992040,56361,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:10:00.000,1730437800000,CFFEX,IC2503,5812.399999999999636,5818.600000000000363,5812.399999999999636,5812.399999999999636,0,0,0,0,47,54665080,56358,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:11:00.000,1730437860000,CFFEX,IC2503,5812.399999999999636,5813.800000000000181,5804.800000000000181,5806.800000000000181,0,0,0,0,73,84782520,56374,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:12:00.000,1730437920000,CFFEX,IC2503,5806.800000000000181,5809,5802.399999999999636,5806.199999999999818,0,0,0,0,46,53412640,56393,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:13:00.000,1730437980000,CFFEX,IC2503,5805.199999999999818,5805.199999999999818,5798,5802,0,0,0,0,84,97473520,56421,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:14:00.000,1730438040000,CFFEX,IC2503,5801.199999999999818,5803,5798.800000000000181,5801.600000000000363,0,0,0,0,51,59166640,56428,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:15:00.000,1730438100000,CFFEX,IC2503,5802,5802.399999999999636,5794,5799.600000000000363,0,0,0,0,73,84643160,56426,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:16:00.000,1730438160000,CFFEX,IC2503,5798.600000000000363,5804.399999999999636,5794.399999999999636,5795.800000000000181,0,0,0,0,89,103244480,56431,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:17:00.000,1730438220000,CFFEX,IC2503,5794.199999999999818,5796.800000000000181,5792,5794.800000000000181,0,0,0,0,38,44038520,56434,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:18:00.000,1730438280000,CFFEX,IC2503,5793,5802,5792.600000000000363,5798.199999999999818,0,0,0,0,52,60291440,56446,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:19:00.000,1730438340000,CFFEX,IC2503,5798.800000000000181,5799,5794.199999999999818,5794.199999999999818,0,0,0,0,51,59126520,56451,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:20:00.000,1730438400000,CFFEX,IC2503,5796.399999999999636,5798.800000000000181,5793,5793,0,0,0,0,65,75345400,56468,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:21:00.000,1730438460000,CFFEX,IC2503,5793.399999999999636,5798.399999999999636,5792.399999999999636,5798,0,0,0,0,42,48678000,56473,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:22:00.000,1730438520000,CFFEX,IC2503,5797,5797,5788.199999999999818,5793,0,0,0,0,70,81085880,56480,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:23:00.000,1730438580000,CFFEX,IC2503,5793.600000000000363,5793.600000000000363,5784,5784,0,0,0,0,95,109958480,56499,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:24:00.000,1730438640000,CFFEX,IC2503,5784,5789.600000000000363,5782.800000000000181,5783.800000000000181,0,0,0,0,49,56705560,56515,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:25:00.000,1730438700000,CFFEX,IC2503,5782.399999999999636,5784.399999999999636,5780,5782.399999999999636,0,0,0,0,39,45099720,56517,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:26:00.000,1730438760000,CFFEX,IC2503,5780.199999999999818,5782.199999999999818,5776.399999999999636,5780.600000000000363,0,0,0,0,65,75131680,56537,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:27:00.000,1730438820000,CFFEX,IC2503,5778.399999999999636,5783.800000000000181,5778.199999999999818,5779.800000000000181,0,0,0,0,56,64735960,56553,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:28:00.000,1730438880000,CFFEX,IC2503,5778.600000000000363,5781.399999999999636,5775,5777.600000000000363,0,0,0,0,44,50845040,56566,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:29:00.000,1730438940000,CFFEX,IC2503,5777.199999999999818,5780.399999999999636,5775.600000000000363,5779.600000000000363,0,0,0,0,42,48535880,56583,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:30:00.000,1730439000000,CFFEX,IC2503,5780.800000000000181,5780.800000000000181,5777.199999999999818,5779,0,0,0,0,54,62406200,56605,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:31:00.000,1730439060000,CFFEX,IC2503,5779.399999999999636,5788.199999999999818,5779.399999999999636,5787.800000000000181,0,0,0,0,68,78664160,56623,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:32:00.000,1730439120000,CFFEX,IC2503,5787,5791.399999999999636,5784.800000000000181,5789.199999999999818,0,0,0,0,36,41673480,56634,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:33:00.000,1730439180000,CFFEX,IC2503,5788.800000000000181,5792.800000000000181,5784.800000000000181,5792.199999999999818,0,0,0,0,42,48639440,56641,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:34:00.000,1730439240000,CFFEX,IC2503,5790.800000000000181,5790.800000000000181,5781,5781,0,0,0,0,26,30081040,56643,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T13:35:00.000,1730439300000,CFFEX,IC2503,5780.800000000000181,5784.600000000000363,5776,5776,0,0,0,0,45,52028440,56656,2024.11.01T18:30:14.636
