date,open,high,low,close,volume
20230309 22:30:00 US/Eastern,1829.31,1830.31,1828.3,1829.51,-1
20230309 23:00:00 US/Eastern,1828.54,1829.75,1827.7,1828.71,-1
20230309 23:30:00 US/Eastern,1829.42,1830.36,1828.62,1829.61,-1
20230310 00:00:00 US/Eastern,1829.39,1830.48,1828.51,1829.57,-1
20230310 00:30:00 US/Eastern,1829.93,1831.49,1828.74,1830.11,-1
20230310 01:00:00 US/Eastern,1831.62,1832.9,1830.77,1831.8,-1
20230310 01:30:00 US/Eastern,1830.82,1831.96,1830.2,1831.0,-1
20230310 02:00:00 US/Eastern,1832.79,1834.89,1830.61,1833.0,-1
20230310 02:30:00 US/Eastern,1833.12,1834.78,1831.94,1833.27,-1
20230310 03:00:00 US/Eastern,1834.59,1837.51,1832.28,1834.75,-1
20230310 03:30:00 US/Eastern,1835.47,1836.69,1832.98,1835.6,-1
20230310 04:00:00 US/Eastern,1835.35,1836.73,1834.18,1835.5,-1
20230310 04:30:00 US/Eastern,1834.43,1837.0,1831.62,1834.6,-1
20230310 05:00:00 US/Eastern,1833.53,1835.27,1831.0,1833.69,-1
20230310 05:30:00 US/Eastern,1834.09,1835.24,1832.71,1834.26,-1
20230310 06:00:00 US/Eastern,1834.07,1836.15,1832.19,1834.25,-1
20230310 06:30:00 US/Eastern,1835.56,1837.01,1834.07,1835.73,-1
20230310 07:00:00 US/Eastern,1834.83,1836.23,1833.75,1835.0,-1
20230310 07:30:00 US/Eastern,1836.21,1837.46,1834.93,1836.35,-1
20230310 08:00:00 US/Eastern,1834.57,1837.22,1831.74,1834.72,-1
20230310 08:30:00 US/Eastern,1841.61,1845.15,1831.0,1841.81,-1
20230310 09:00:00 US/Eastern,1845.4,1849.94,1839.94,1845.54,-1
20230310 09:30:00 US/Eastern,1855.92,1860.51,1848.87,1856.09,-1
20230310 10:00:00 US/Eastern,1861.11,1864.53,1858.0,1861.28,-1
20230310 10:30:00 US/Eastern,1865.18,1867.58,1862.66,1865.35,-1
20230310 11:00:00 US/Eastern,1859.63,1864.14,1855.64,1859.75,-1
20230310 11:30:00 US/Eastern,1857.05,1860.31,1854.11,1857.21,-1
20230310 12:00:00 US/Eastern,1859.76,1862.9,1854.96,1859.94,-1
20230310 12:30:00 US/Eastern,1863.61,1865.35,1861.05,1863.81,-1
20230310 13:00:00 US/Eastern,1862.84,1865.57,1860.79,1863.03,-1
20230310 13:30:00 US/Eastern,1863.79,1865.52,1862.68,1863.97,-1
20230310 14:00:00 US/Eastern,1863.65,1865.1,1862.82,1863.85,-1
20230310 14:30:00 US/Eastern,1862.43,1864.19,1860.93,1862.62,-1
20230310 15:00:00 US/Eastern,1864.88,1866.0,1863.53,1865.04,-1
20230310 15:30:00 US/Eastern,1867.44,1870.16,1865.27,1867.63,-1
20230310 16:00:00 US/Eastern,1868.37,1870.32,1867.6,1868.55,-1
20230310 16:30:00 US/Eastern,1867.41,1868.65,1866.37,1867.7,-1
20230312 18:00:00 US/Eastern,1885.95,1894.0,1866.99,1887.05,-1
20230312 18:30:00 US/Eastern,1882.54,1886.92,1878.5,1882.85,-1
20230312 19:00:00 US/Eastern,1885.77,1889.66,1882.11,1886.06,-1
20230312 19:30:00 US/Eastern,1880.32,1883.89,1875.74,1880.51,-1
20230312 20:00:00 US/Eastern,1879.72,1882.36,1875.1,1879.91,-1
20230312 20:30:00 US/Eastern,1877.94,1880.18,1876.72,1878.11,-1
20230312 21:00:00 US/Eastern,1877.39,1879.81,1875.84,1877.56,-1
20230312 21:30:00 US/Eastern,1875.16,1877.43,1872.15,1875.32,-1
20230312 22:00:00 US/Eastern,1876.39,1882.34,1872.49,1876.57,-1
20230312 22:30:00 US/Eastern,1885.53,1889.05,1881.28,1885.71,-1
20230312 23:00:00 US/Eastern,1884.79,1887.32,1882.47,1884.97,-1
20230312 23:30:00 US/Eastern,1883.37,1884.65,1882.29,1883.56,-1
20230313 00:00:00 US/Eastern,1882.73,1883.63,1882.0,1882.9,-1
20230313 00:30:00 US/Eastern,1882.67,1883.91,1881.43,1882.85,-1
20230313 01:00:00 US/Eastern,1880.78,1881.96,1879.45,1880.99,-1
20230313 01:30:00 US/Eastern,1879.4,1881.33,1877.02,1879.56,-1
20230313 02:00:00 US/Eastern,1880.15,1882.57,1877.51,1880.38,-1
20230313 02:30:00 US/Eastern,1877.02,1879.71,1873.31,1877.22,-1
20230313 03:00:00 US/Eastern,1873.3,1875.31,1871.51,1873.48,-1
20230313 03:30:00 US/Eastern,1876.11,1878.42,1873.24,1876.31,-1
20230313 04:00:00 US/Eastern,1878.15,1880.68,1875.46,1878.36,-1
20230313 04:30:00 US/Eastern,1881.06,1886.36,1877.78,1881.24,-1
20230313 05:00:00 US/Eastern,1886.31,1889.99,1884.29,1886.48,-1
20230313 05:30:00 US/Eastern,1890.42,1894.0,1885.66,1890.6,-1
20230313 06:00:00 US/Eastern,1885.44,1888.58,1882.91,1885.62,-1
20230313 06:30:00 US/Eastern,1882.76,1885.05,1881.38,1882.92,-1
20230313 07:00:00 US/Eastern,1884.34,1888.04,1880.87,1884.52,-1
20230313 07:30:00 US/Eastern,1890.1,1892.0,1887.26,1890.23,-1
20230313 08:00:00 US/Eastern,1890.78,1898.28,1887.21,1890.93,-1
20230313 08:30:00 US/Eastern,1898.64,1902.94,1894.46,1898.79,-1
20230313 09:00:00 US/Eastern,1898.89,1902.87,1893.47,1899.05,-1
20230313 09:30:00 US/Eastern,1904.14,1909.9,1896.38,1904.29,-1
20230313 10:00:00 US/Eastern,1904.12,1908.33,1896.27,1904.27,-1
20230313 10:30:00 US/Eastern,1909.07,1913.0,1904.9,1909.23,-1
20230313 11:00:00 US/Eastern,1909.78,1912.9,1907.34,1909.92,-1
20230313 11:30:00 US/Eastern,1906.32,1913.23,1902.86,1906.45,-1
20230313 12:00:00 US/Eastern,1905.48,1907.66,1903.3,1905.65,-1
20230313 12:30:00 US/Eastern,1906.33,1909.85,1904.62,1906.48,-1
20230313 13:00:00 US/Eastern,1910.99,1912.62,1908.51,1911.13,-1
20230313 13:30:00 US/Eastern,1911.28,1912.58,1909.49,1911.44,-1
20230313 14:00:00 US/Eastern,1909.81,1911.74,1908.0,1909.96,-1
20230313 14:30:00 US/Eastern,1911.28,1913.32,1909.03,1911.43,-1
20230313 15:00:00 US/Eastern,1909.93,1912.87,1908.0,1910.06,-1
20230313 15:30:00 US/Eastern,1913.42,1914.72,1912.26,1913.57,-1
20230313 16:00:00 US/Eastern,1912.66,1914.23,1911.7,1912.84,-1
20230313 16:30:00 US/Eastern,1913.33,1914.38,1912.17,1913.49,-1
20230313 18:00:00 US/Eastern,1911.66,1915.0,1910.52,1912.09,-1
20230313 18:30:00 US/Eastern,1910.46,1911.36,1909.94,1910.66,-1
20230313 19:00:00 US/Eastern,1910.28,1910.86,1909.94,1910.49,-1
20230313 19:30:00 US/Eastern,1911.6,1912.71,1910.33,1911.76,-1
20230313 20:00:00 US/Eastern,1910.92,1912.37,1910.22,1911.08,-1
20230313 20:30:00 US/Eastern,1912.28,1914.38,1910.92,1912.43,-1
20230313 21:00:00 US/Eastern,1910.58,1913.06,1909.27,1910.76,-1
20230313 21:30:00 US/Eastern,1907.11,1910.68,1905.26,1907.3,-1
20230313 22:00:00 US/Eastern,1906.46,1908.13,1904.72,1906.65,-1
20230313 22:30:00 US/Eastern,1904.91,1905.89,1904.0,1905.13,-1
20230313 23:00:00 US/Eastern,1905.71,1907.22,1903.9,1905.9,-1
20230313 23:30:00 US/Eastern,1903.96,1905.53,1902.55,1904.14,-1
20230314 00:00:00 US/Eastern,1903.13,1904.01,1902.38,1903.3,-1
20230314 00:30:00 US/Eastern,1902.47,1904.45,1901.72,1902.63,-1
20230314 01:00:00 US/Eastern,1903.05,1904.41,1901.43,1903.2,-1
20230314 01:30:00 US/Eastern,1903.13,1904.68,1901.55,1903.28,-1
20230314 02:00:00 US/Eastern,1907.87,1913.69,1903.78,1908.07,-1
20230314 02:30:00 US/Eastern,1908.47,1910.07,1906.5,1908.66,-1
20230314 03:00:00 US/Eastern,1910.83,1912.49,1908.76,1911.01,-1
20230314 03:30:00 US/Eastern,1911.87,1913.26,1910.24,1912.03,-1
20230314 04:00:00 US/Eastern,1909.41,1913.48,1907.15,1909.57,-1
20230314 04:30:00 US/Eastern,1904.11,1908.45,1900.73,1904.27,-1
20230314 05:00:00 US/Eastern,1903.42,1905.1,1901.72,1903.58,-1
20230314 05:30:00 US/Eastern,1902.12,1903.83,1900.79,1902.27,-1
20230314 06:00:00 US/Eastern,1902.94,1904.77,1900.9,1903.13,-1
20230314 06:30:00 US/Eastern,1902.21,1904.04,1900.82,1902.38,-1
20230314 07:00:00 US/Eastern,1903.65,1904.72,1902.78,1903.8,-1
20230314 07:30:00 US/Eastern,1904.09,1904.94,1903.04,1904.25,-1
20230314 08:00:00 US/Eastern,1906.67,1908.02,1904.01,1906.87,-1
20230314 08:30:00 US/Eastern,1908.47,1912.24,1900.0,1908.7,-1
20230314 09:00:00 US/Eastern,1907.86,1911.02,1904.77,1908.02,-1
20230314 09:30:00 US/Eastern,1901.37,1908.38,1895.34,1901.53,-1
20230314 10:00:00 US/Eastern,1904.09,1907.0,1900.18,1904.25,-1
20230314 10:30:00 US/Eastern,1905.36,1907.99,1901.15,1905.51,-1
20230314 11:00:00 US/Eastern,1907.52,1908.92,1906.39,1907.67,-1
20230314 11:30:00 US/Eastern,1905.8,1907.65,1904.04,1905.9,-1
20230314 12:00:00 US/Eastern,1903.56,1904.84,1902.24,1903.65,-1
20230314 12:30:00 US/Eastern,1906.43,1909.3,1903.33,1906.51,-1
20230314 13:00:00 US/Eastern,1909.02,1910.51,1906.0,1909.12,-1
20230314 13:30:00 US/Eastern,1906.67,1908.01,1905.48,1906.76,-1
20230314 14:00:00 US/Eastern,1908.1,1909.91,1906.19,1908.22,-1
20230314 14:30:00 US/Eastern,1907.92,1909.66,1906.24,1908.03,-1
20230314 15:00:00 US/Eastern,1906.5,1908.04,1905.31,1906.63,-1
20230314 15:30:00 US/Eastern,1904.44,1906.43,1902.33,1904.58,-1
20230314 16:00:00 US/Eastern,1903.8,1904.48,1902.49,1903.94,-1
20230314 16:30:00 US/Eastern,1903.7,1904.31,1903.24,1903.91,-1
20230314 18:00:00 US/Eastern,1904.39,1905.76,1901.95,1904.72,-1
20230314 18:30:00 US/Eastern,1904.4,1905.09,1903.97,1904.6,-1
20230314 19:00:00 US/Eastern,1904.27,1904.81,1903.74,1904.44,-1
20230314 19:30:00 US/Eastern,1903.56,1904.74,1902.89,1903.74,-1
20230314 20:00:00 US/Eastern,1901.27,1903.38,1900.0,1901.44,-1
20230314 20:30:00 US/Eastern,1901.46,1902.32,1900.57,1901.66,-1
20230314 21:00:00 US/Eastern,1903.54,1904.49,1901.51,1903.72,-1
20230314 21:30:00 US/Eastern,1903.6,1905.37,1901.94,1903.79,-1
20230314 22:00:00 US/Eastern,1904.38,1905.75,1903.43,1904.55,-1
20230314 22:30:00 US/Eastern,1904.68,1905.55,1904.02,1904.82,-1
20230314 23:00:00 US/Eastern,1904.07,1905.2,1903.43,1904.22,-1
20230314 23:30:00 US/Eastern,1903.26,1904.47,1902.34,1903.43,-1
20230315 00:00:00 US/Eastern,1902.94,1903.6,1902.22,1903.11,-1
20230315 00:30:00 US/Eastern,1901.86,1903.2,1901.02,1902.01,-1
20230315 01:00:00 US/Eastern,1900.92,1902.15,1899.33,1901.1,-1
20230315 01:30:00 US/Eastern,1900.37,1901.53,1899.22,1900.57,-1
20230315 02:00:00 US/Eastern,1899.81,1901.2,1898.63,1900.01,-1
20230315 02:30:00 US/Eastern,1900.06,1902.54,1898.65,1900.26,-1
20230315 03:00:00 US/Eastern,1900.44,1902.58,1898.46,1900.61,-1
20230315 03:30:00 US/Eastern,1897.73,1899.56,1896.33,1897.88,-1
20230315 04:00:00 US/Eastern,1890.54,1897.0,1887.22,1890.69,-1
20230315 04:30:00 US/Eastern,1888.03,1890.39,1885.67,1888.17,-1
20230315 05:00:00 US/Eastern,1888.12,1889.42,1886.64,1888.28,-1
20230315 05:30:00 US/Eastern,1894.21,1898.89,1888.89,1894.35,-1
20230315 06:00:00 US/Eastern,1903.69,1908.05,1896.16,1903.83,-1
20230315 06:30:00 US/Eastern,1907.56,1909.96,1905.62,1907.7,-1
20230315 07:00:00 US/Eastern,1907.71,1912.88,1905.19,1907.86,-1
20230315 07:30:00 US/Eastern,1916.6,1919.03,1911.63,1916.74,-1
20230315 08:00:00 US/Eastern,1922.34,1925.82,1916.95,1922.49,-1
20230315 08:30:00 US/Eastern,1924.81,1930.36,1919.2,1924.98,-1
20230315 09:00:00 US/Eastern,1926.83,1930.58,1923.38,1927.02,-1
20230315 09:30:00 US/Eastern,1922.34,1927.62,1917.36,1922.51,-1
20230315 10:00:00 US/Eastern,1922.53,1927.1,1917.52,1922.66,-1
20230315 10:30:00 US/Eastern,1923.09,1925.78,1918.93,1923.26,-1
20230315 11:00:00 US/Eastern,1924.07,1926.53,1921.89,1924.23,-1
20230315 11:30:00 US/Eastern,1924.98,1927.43,1921.54,1925.14,-1
20230315 12:00:00 US/Eastern,1930.11,1934.72,1925.02,1930.25,-1
20230315 12:30:00 US/Eastern,1934.37,1937.52,1931.76,1934.55,-1
20230315 13:00:00 US/Eastern,1928.49,1937.24,1922.32,1928.66,-1
20230315 13:30:00 US/Eastern,1925.36,1928.94,1921.72,1925.55,-1
20230315 14:00:00 US/Eastern,1924.07,1926.5,1916.39,1924.25,-1
20230315 14:30:00 US/Eastern,1913.81,1920.89,1909.09,1913.99,-1
20230315 15:00:00 US/Eastern,1918.12,1921.67,1914.9,1918.28,-1
20230315 15:30:00 US/Eastern,1917.75,1919.51,1916.29,1917.94,-1
20230315 16:00:00 US/Eastern,1917.14,1918.2,1916.09,1917.3,-1
20230315 16:30:00 US/Eastern,1917.99,1918.9,1917.58,1918.2,-1
20230315 18:00:00 US/Eastern,1919.92,1926.5,1916.41,1920.25,-1
20230315 18:30:00 US/Eastern,1919.98,1921.08,1919.42,1920.17,-1
20230315 19:00:00 US/Eastern,1921.16,1922.03,1919.99,1921.37,-1
20230315 19:30:00 US/Eastern,1921.63,1923.02,1920.01,1921.81,-1
20230315 20:00:00 US/Eastern,1922.54,1924.14,1920.38,1922.74,-1
20230315 20:30:00 US/Eastern,1921.25,1924.55,1913.18,1921.43,-1
20230315 21:00:00 US/Eastern,1911.9,1915.51,1907.54,1912.08,-1
20230315 21:30:00 US/Eastern,1910.69,1912.46,1909.22,1910.88,-1
20230315 22:00:00 US/Eastern,1910.88,1912.02,1909.41,1911.1,-1
20230315 22:30:00 US/Eastern,1910.79,1911.77,1910.0,1910.96,-1
20230315 23:00:00 US/Eastern,1911.49,1913.31,1910.63,1911.69,-1
20230315 23:30:00 US/Eastern,1912.92,1915.17,1911.93,1913.1,-1
20230316 00:00:00 US/Eastern,1913.81,1915.11,1913.07,1913.94,-1
20230316 00:30:00 US/Eastern,1913.27,1914.06,1912.68,1913.44,-1
20230316 01:00:00 US/Eastern,1914.06,1916.76,1912.0,1914.29,-1
20230316 01:30:00 US/Eastern,1917.97,1920.46,1915.43,1918.14,-1
20230316 02:00:00 US/Eastern,1917.83,1920.51,1914.53,1918.02,-1
20230316 02:30:00 US/Eastern,1916.8,1918.54,1914.93,1916.99,-1
20230316 03:00:00 US/Eastern,1914.41,1916.95,1912.37,1914.6,-1
20230316 03:30:00 US/Eastern,1918.3,1920.84,1914.61,1918.49,-1
20230316 04:00:00 US/Eastern,1918.81,1922.72,1915.73,1919.0,-1
20230316 04:30:00 US/Eastern,1918.6,1920.49,1916.44,1918.78,-1
20230316 05:00:00 US/Eastern,1920.47,1922.24,1918.66,1920.65,-1
20230316 05:30:00 US/Eastern,1920.27,1922.3,1917.65,1920.45,-1
20230316 06:00:00 US/Eastern,1921.47,1922.79,1920.22,1921.59,-1
20230316 06:30:00 US/Eastern,1920.38,1923.07,1918.64,1920.58,-1
